model,n_same_genre,n_different_genre,prevalence,average_precision,separation_auc,separation_p
f2llm_v2_14b_vocalized,20198,120011,0.14405637298604226,0.1786475707571817,0.5239821854003747,4.45884581138668e-28
f2llm_v2_14b_cantillation,20198,120011,0.14405637298604226,0.177774390713076,0.5239497763337103,5.245427519088468e-28
berel_consonantal,20198,120011,0.14405637298604226,0.16645046102259142,0.5062726436844289,0.002138054289401855
kalm_embedding_gemma3_12b_2511_cantillation,20198,120011,0.14405637298604226,0.16556827788509243,0.5085369243585255,5.0460447984429786e-05
gemini_embedding_2_cantillation,20198,120011,0.14405637298604226,0.16481588026063873,0.5076584913323566,0.00024308603543408465
gemini_embedding_2_vocalized,20198,120011,0.14405637298604226,0.16446746627503384,0.5078402344177632,0.00017778239094019238
gemini_embedding_2_consonantal,20198,120011,0.14405637298604226,0.1638955121218596,0.5123431449998062,9.437381839132131e-09
bge_multilingual_gemma2_cantillation,20198,120011,0.14405637298604226,0.16361473515044223,0.5079341651826287,0.00015085662273225614
harrier_oss_v1_27b_cantillation,20198,120011,0.14405637298604226,0.16258028829370247,0.5036422522327637,0.048561957775415415
kalm_embedding_gemma3_12b_2511_vocalized,20198,120011,0.14405637298604226,0.16224415513773102,0.5041064351010257,0.030715255330005176
bge_multilingual_gemma2_vocalized,20198,120011,0.14405637298604226,0.16210077151312502,0.5068136755087974,0.0009563345470971989
f2llm_v2_14b_consonantal,20198,120011,0.14405637298604226,0.1619892596527368,0.501407621322866,0.2607164681268794
neodictabert_consonantal,20198,120011,0.14405637298604226,0.1616880514304632,0.5065133822530934,0.0015051140026166195
harrier_oss_v1_27b_vocalized,20198,120011,0.14405637298604226,0.16166853110833046,0.502973340549041,0.08782253859545625
openai_text_embedding_3_large_cantillation,20198,120011,0.14405637298604226,0.1584647531969396,0.5015405292719937,0.24144106817373867
openai_text_embedding_3_large_vocalized,20198,120011,0.14405637298604226,0.15833235350153751,0.5027583676401106,0.10449071762427875
qwen3_embedding_8b_cantillation,20198,120011,0.14405637298604226,0.15731806436387555,0.49557691199328613,0.9780273462712104
qwen3_embedding_8b_vocalized,20198,120011,0.14405637298604226,0.15708437118470053,0.4938742538477525,0.9973656774102769
alephbert_consonantal,20198,120011,0.14405637298604226,0.15541862788766325,0.4915451038848356,0.9999411830442073
harrier_oss_v1_27b_consonantal,20198,120011,0.14405637298604226,0.15501245379704476,0.4960960465857022,0.9623110930442331
voyage_4_vocalized,20198,120011,0.14405637298604226,0.15476865005670115,0.49714880432590375,0.9029683623845598
kalm_embedding_gemma3_12b_2511_consonantal,20198,120011,0.14405637298604226,0.15387058230163164,0.4923004596859705,0.9997733702343786
voyage_4_cantillation,20198,120011,0.14405637298604226,0.1538496650399392,0.49479186166689715,0.9911583583727865
bge_m3_consonantal,20198,120011,0.14405637298604226,0.15214104884285212,0.49221913503689135,0.9998029474754299
voyage_4_consonantal,20198,120011,0.14405637298604226,0.15166573789723276,0.49312435146955114,0.9991309996947462
miqrabert_consonantal,20198,120011,0.14405637298604226,0.15166321687946632,0.49721289926909684,0.8978612236666916
bge_m3_vocalized,20198,120011,0.14405637298604226,0.15051700726083894,0.4864727196438983,0.9999999996393779
bge_multilingual_gemma2_consonantal,20198,120011,0.14405637298604226,0.1501997477448858,0.48997879224506413,0.9999974956537209
openai_text_embedding_3_large_consonantal,20198,120011,0.14405637298604226,0.14947820276783585,0.48869103875894915,0.9999998704249302
llama_embed_nemotron_8b_vocalized,20198,120011,0.14405637298604226,0.14903463770986558,0.4857197537118196,0.9999999999609758
cohere_embed_v4_consonantal,20198,120011,0.14405637298604226,0.14881043766064667,0.48986349189238965,0.999998052799959
qwen3_embedding_8b_consonantal,20198,120011,0.14405637298604226,0.14807247538842883,0.48690412133054883,0.9999999987758047
me5_large_instruct_consonantal,20198,120011,0.14405637298604226,0.1479581588868546,0.48106785317296996,1.0
llama_embed_nemotron_8b_cantillation,20198,120011,0.14405637298604226,0.14724951825700142,0.48049429986361886,1.0
bge_m3_cantillation,20198,120011,0.14405637298604226,0.14653016099000798,0.47824412201598293,1.0
llama_embed_nemotron_8b_consonantal,20198,120011,0.14405637298604226,0.14595255211142216,0.48130628768179007,1.0
me5_large_instruct_vocalized,20198,120011,0.14405637298604226,0.14478722080546824,0.476074273554333,1.0
cohere_embed_v4_vocalized,20198,120011,0.14405637298604226,0.14389043416754657,0.4790456677194266,1.0
cohere_embed_v4_cantillation,20198,120011,0.14405637298604226,0.1437746947053458,0.4774008385881788,1.0
me5_large_instruct_cantillation,20198,120011,0.14405637298604226,0.14271160799302876,0.47317959963152834,1.0
gte_multilingual_base_cantillation,20198,120011,0.14405637298604226,0.1406898245757783,0.47813413317100717,1.0
gte_multilingual_base_vocalized,20198,120011,0.14405637298604226,0.14009573609010592,0.47486972303143726,1.0
gte_multilingual_base_consonantal,20198,120011,0.14405637298604226,0.1372907606990984,0.4680421975858273,1.0
