model,n_same_genre,n_different_genre,prevalence,average_precision,same_genre_effect_size,different_genre_effect_size,gap,separation_auc,separation_p
f2llm_v2_14b_vocalized,20198,120011,0.14405637298604226,0.1786475707571817,0.0780887905452879,-0.01934971375999561,0.09743850430528352,0.5239821854003747,4.45884581138668e-28
f2llm_v2_14b_cantillation,20198,120011,0.14405637298604226,0.177774390713076,0.07777866750866876,-0.01922556872477915,0.09700423623344791,0.5239497763337103,5.245427519088468e-28
berel_consonantal,20198,120011,0.14405637298604226,0.16645046102259142,0.010192061945512901,-0.006311143346034713,0.016503205291547612,0.5062726436844289,0.002138054289401855
kalm_embedding_gemma3_12b_2511_cantillation,20198,120011,0.14405637298604226,0.16556827788509243,6.930063657114938e-05,-0.004066786474730882,0.004136087111302032,0.5085369243585255,5.0460447984429786e-05
gemini_embedding_2_cantillation,20198,120011,0.14405637298604226,0.16481588026063873,0.012738807421249177,-0.0066641047651848405,0.01940291218643402,0.5076584913323566,0.00024308603543408465
gemini_embedding_2_vocalized,20198,120011,0.14405637298604226,0.16446746627503384,0.013945604992077495,-0.00681755045316643,0.020763155445243923,0.5078402344177632,0.00017778239094019238
gemini_embedding_2_consonantal,20198,120011,0.14405637298604226,0.1638955121218596,0.02959170677693899,-0.0094104972200128,0.03900220399695179,0.5123431449998062,9.437381839132131e-09
bge_multilingual_gemma2_cantillation,20198,120011,0.14405637298604226,0.16361473515044223,0.010966473188363003,-0.006123059371746594,0.017089532560109595,0.5079341651826287,0.00015085662273225614
harrier_oss_v1_27b_cantillation,20198,120011,0.14405637298604226,0.16258028829370247,-0.0021836317682488193,-0.003854349886329708,0.0016707181180808887,0.5036422522327637,0.048561957775415415
kalm_embedding_gemma3_12b_2511_vocalized,20198,120011,0.14405637298604226,0.16224415513773102,-0.01592260980559795,-0.0011188088039290431,-0.014803801001668906,0.5041064351010257,0.030715255330005176
